index,generated,result,format_results,acc_results,format_properties
0,"First, we need to calculate how many eggs Janet has left after eating three for breakfast and using four for muffins. 

16 eggs - 3 eggs (for breakfast) - 4 eggs (for muffins) = 9 eggs

Janet has 9 eggs left to sell at the farmers' market. 

Next, we need to calculate how much money she makes from selling these eggs. 

9 eggs * $2 per egg = $18

Therefore, Janet makes $18 every day at the farmers' market.

Result:
18",0,False,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
1,"To find out how many bolts in total it takes to make a robe, we first need to determine how many bolts of white fiber are needed. Since the robe takes half as much white fiber as blue fiber, it will take 1 bolt of white fiber (half of 2 bolts). 

Therefore, the total number of bolts needed for the robe is 2 bolts of blue fiber + 1 bolt of white fiber, which equals \boxed{3} bolts in total.",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
2,"To find out how much profit Josh made, we first need to calculate the new value of the house after the repairs. 

The increase in value is 150% of the original value, which means the new value is 100% (original value) + 150% (increase) = 250% of the original value. 

So, the new value of the house is $80,000 + $50,000 = $130,000. 

Now, we need to calculate how much profit Josh made. 

Profit = New value - Total cost
Profit = $130,000 - ($80,000 + $50,000)
Profit = $130,000 - $130,000
Profit = $0

Therefore, Josh did not make any profit from flipping the house. 

The final answer is $0.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
3,"To find the total meters James runs in a week, we first need to find out how many meters he runs in one day. Since he runs 3 sprints of 60 meters each, he runs a total of 3 * 60 = 180 meters in one day.

Since he runs 3 times a week, we can multiply the meters he runs in one day by the number of days he runs in a week to find the total meters he runs in a week.

180 meters/day * 3 days/week = 540 meters/week

Therefore, James runs a total of \boxed{540} meters in a week.",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
4,"In total, Wendi gives her chickens 15 cups + 25 cups = 40 cups of feed in the first two meals of the day.
Since she gives each chicken 3 cups of feed per day, she needs to give her flock a total of 20 chickens * 3 cups = 60 cups of feed per day.
Therefore, Wendi needs to give her chickens 60 cups - 40 cups = 20 cups of feed in the final meal of the day.

Final result: 20 cups",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
5,"To calculate the total cost, we need to consider that every second glass costs only 60% of the price. This means that every pair of glasses will cost $5 + $5 * 0.6 = $5 + $3 = $8. 

Since Kylar wants to buy 16 glasses, this means he will be buying 8 pairs of glasses. Therefore, the total cost will be 8 pairs * $8 per pair = $64.

Final result: 64###",1,True,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
6,"Let's start by finding out how many sheep Charleston has. Since Charleston has 4 times as many sheep as Seattle, we can multiply Seattle's sheep by 4: 20 sheep * 4 = 80 sheep.

Next, we can find out how many sheep Toulouse has. Toulouse has twice as many sheep as Charleston, so we can multiply Charleston's sheep by 2: 80 sheep * 2 = 160 sheep.

Now, we can add up the number of sheep each city has: 20 sheep (Seattle) + 80 sheep (Charleston) + 160 sheep (Toulouse) = 260 sheep.

The final answer is 260 sheep.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
7,"Before the restart, Carla had downloaded 40% of the file, which is 0.4 * 200 GB = 80 GB. 
After the restart, she has to download the remaining 60% of the file, which is 0.6 * 200 GB = 120 GB. 
The total size of the file she needs to download is 80 GB + 120 GB = 200 GB. 
At a rate of 2 GB/minute, it will take Carla 200 GB / 2 GB/minute = 100 minutes to download the file. 
After the 20-minute restart, the total time it takes Carla to download the file is 100 minutes + 20 minutes = 120 minutes. 

The final answer is 120 minutes.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
8,"To find the distance John is from home at the end of the 4 hours, we need to calculate the total distance he traveled during that time. 

During the first 3 hours, he traveled at 60 mph, so the distance covered is 60 mph * 3 hours = 180 miles. 

During the next 2 hours in standstill traffic, he did not cover any distance. 

During the next half-hour driving at 30 mph, he covered 30 mph * 0.5 hours = 15 miles. 

During the remaining 0.5 hours driving at 80 mph, he covered 80 mph * 0.5 hours = 40 miles. 

Adding up all the distances, we get 180 miles + 0 miles + 15 miles + 40 miles = 235 miles. 

Therefore, the final answer is 235 miles.",0,False,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
9,"First, we calculate Eliza's regular earnings for the first 40 hours she worked:
Regular earnings = $10/hour * 40 hours = $400

Next, we calculate Eliza's overtime earnings for the additional 5 hours she worked:
Overtime rate = $10/hour * 1.2 = $12/hour
Overtime earnings = $12/hour * 5 hours = $60

Finally, we add her regular earnings and overtime earnings to find her total earnings for the week:
Total earnings = $400 + $60 = $460

Therefore, Eliza's earnings for this week are $460.",0,False,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
10,"First, we need to calculate the number of downloads in the second month. Since the second month had three times as many downloads as the first month, we have 60 downloads * 3 = 180 downloads in the second month.

Next, we need to calculate the number of downloads in the third month after the 30% reduction. 30% of 180 downloads is 0.30 * 180 = 54 downloads. Therefore, the number of downloads in the third month is 180 downloads - 54 downloads = 126 downloads.

Finally, we add up the number of downloads over the three months: 60 downloads + 180 downloads + 126 downloads = 366 downloads.

Result: 366",1,True,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
11,"To find the total cost, we need to calculate the cost of each type of pastry separately and then add them together.

Cost of donuts:
3 dozen donuts x $68 per dozen = $204

Cost of mini cupcakes:
2 dozen mini cupcakes x $80 per dozen = $160

Cost of mini cheesecakes:
6 dozen mini cheesecakes x $55 per dozen = $330

Adding all the costs together:
$204 (donuts) + $160 (mini cupcakes) + $330 (mini cheesecakes) = $694

The final answer is $694.",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
12,"To find out how many years it will take before Carlos starts earning money on the lemon tree, we need to calculate the total cost of planting and maintaining the tree before the revenue from selling lemons exceeds the expenses.

Total cost per year = Cost of watering and feeding the tree + Cost of planting the tree
Total cost per year = $3 + $90 = $93

Total revenue per year = Number of lemons grown per year x Price per lemon
Total revenue per year = 7 lemons x $1.5 = $10.5

Profit per year = Total revenue per year - Total cost per year
Profit per year = $10.5 - $93 = -$82.5

Since Carlos is making a loss of $82.5 per year, it will take him several years before he starts earning money on the lemon tree. 

Result: \(-82.5\)",0,False,False,{'math_format_name': 'Suffix6PhrasesMathFormat'}
13,"Let's denote the total number of vacuum cleaners Melanie started with as x.

Melanie sold 1/3 of her vacuum cleaners at the green house, which means she sold x/3 vacuum cleaners there. 
She then sold 2 more to the red house, leaving her with x - (x/3) - 2 vacuum cleaners.
Next, she sold half of what was left at the orange house, which means she sold (x - (x/3) - 2)/2 vacuum cleaners there.

After all these sales, Melanie has 5 vacuum cleaners left, so we can set up the equation:
x - (x/3) - 2 - (x - (x/3) - 2)/2 = 5

Solving this equation will give us the value of x, which is the total number of vacuum cleaners Melanie started with.

Final result: \boxed{24} vacuum cleaners.",1,True,False,{'math_format_name': 'Suffix5PhrasesMathFormat'}
14,"First, we need to find out how many students enrolled in contemporary dance. 20% of 20 students is 4 students.

Next, we need to find out how many students enrolled in jazz dance. The remaining students after contemporary dance are 20 - 4 = 16 students. 25% of 16 students is 4 students.

Therefore, the number of students enrolled in hip-hop dance is 20 - 4 - 4 = 12 students.

To find the percentage of students enrolled in hip-hop dance, we divide the number of students in hip-hop dance (12) by the total number of students (20) and multiply by 100.

Percentage of students enrolled in hip-hop dance = (12/20) * 100 = 60%

Final result: 60% ###",1,True,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
15,"To calculate the profit for each option, we first need to determine the potential value of the jewelry and electronic gadgets at the end of the month after the market increase.

For the jewelry:
$5,000 + ($5,000 x 2.5%) = $5,000 + $125 = $5,125

For the electronic gadgets:
$8,000 + ($8,000 x 1.2%) = $8,000 + $96 = $8,096

Now, we calculate the profit for each option:
Profit from jewelry = $5,125 - $5,000 = $125
Profit from electronic gadgets = $8,096 - $8,000 = $96

To maximize profit, the merchant should choose the option with the higher profit, which in this case is the jewelry.

Result: $125",1,True,False,{'math_format_name': 'Suffix4PhrasesMathFormat'}
16,"First, let's calculate the total distance covered by each train in the two days. 

For the first day:
Both trains travel 80 miles westward, so each train covers 80 miles.

For the second day:
Both trains travel 150 miles northwards, so each train covers 150 miles.

Adding the distances covered on both days:
Each train covers 80 miles + 150 miles = 230 miles in total.

Therefore, the distance covered by each train in the two days is 230 miles.

Result: $230$",1,True,True,{'math_format_name': 'Suffix6PhrasesMathFormat'}
17,"To find Jill's annual salary, we first calculate her earnings as a teacher and as a cheerleading coach separately.

As a teacher:
$20/hour * 35 hours/week = $700/week
$700/week * 50 weeks/year = $35,000/year

As a cheerleading coach:
$30/hour * 15 hours/week = $450/week
$450/week * 50 weeks/year = $22,500/year

Adding both amounts together:
$35,000/year + $22,500/year = $57,500/year

Result: $57,500",0,False,False,{'math_format_name': 'Suffix6PhrasesMathFormat'}
18,"To find out how many dozens of eggs Claire will eat in 4 weeks, we first need to calculate how many eggs she eats in a week. Since she eats a 3 egg omelet every morning, she eats 3 eggs x 7 days = 21 eggs in a week.

Next, we need to find out how many dozens of eggs she eats in a week. Since there are 12 eggs in a dozen, we divide 21 eggs by 12 to get 1.75 dozens of eggs in a week.

Finally, to find out how many dozens of eggs she will eat in 4 weeks, we multiply 1.75 dozens by 4 weeks to get 7###. 

Therefore, Claire will eat 7 dozens of eggs in 4 weeks.",0,False,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
19,"To find the speed Marissa needs to walk the remaining distance, we first need to calculate the total time she has spent walking so far. 

Marissa took 1 hour to walk the first 4 miles and another hour to walk the next 2 miles, so she has spent a total of 2 hours walking so far.

Next, we need to calculate the total distance she has walked so far, which is 4 miles + 2 miles = 6 miles.

To find the remaining distance, we subtract the distance walked so far from the total distance of the trail: 12 miles - 6 miles = 6 miles.

Now, we can calculate the speed Marissa needs to walk the remaining 6 miles to achieve an average speed of 4 miles per hour. We use the formula: Speed = Distance / Time.

Speed = 6 miles / 1 hour = 6 miles per hour.

Therefore, Marissa needs to walk the remaining distance at a speed of 6 miles per hour to achieve an average speed of 4 miles per hour.

Result: 6",1,True,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
