index,generated,result,format_results,acc_results,format_properties
0,"1. Calculate the total number of eggs Janet uses for breakfast and baking:
Janet uses 3 eggs for breakfast + 4 eggs for baking muffins = 7 eggs

2. Calculate the number of eggs remaining after breakfast and baking:
Janet starts with 16 eggs and uses 7 eggs, so she has 16 - 7 = 9 eggs remaining.


3. Calculate Janet's earnings from selling the remaining eggs:
Janet sells 9 eggs at $2 per egg, so she makes 9 * $2 = $18.


Final result: 18
",1,True,True,{'math_format_name': 'BulletPoints7MathFormat'}
1,"```json
{
  ""1"": ""A robe takes 2 bolts of blue fiber."",
  ""2"": ""It takes half as much white fiber as blue fiber, which is 2 bolts / 2 = 1 bolt of white fiber."",
  ""3"": ""In total, a robe takes 2 bolts (blue) + 1 bolt (white) = 3 bolts.""
}
```

\boxed{3}
",1,True,True,{'math_format_name': 'BulletPoints20MathFormat'}
2,"```json
[
""Josh's initial investment is the sum of the purchase price and the repair costs: $80,000 + $50,000 = $130,000."",
""The value of the house increased by 150% of the initial investment: 150% * $130,000 = 1.5 * $130,000 = $195,000."",
""The final value of the house is the initial investment plus the increase in value: $130,000 + $195,000 = $325,000."",
""Josh's profit is the final value of the house minus his initial investment: $325,000 - $130,000 = $195,000.""
]
```
Final result: $195,000
",1,True,False,{'math_format_name': 'BulletPoints15MathFormat'}
3,"**Step 1** Calculate the total distance per sprint session:**
* James runs 3 sprints of 60 meters each.
* Total distance per session: 3 sprints * 60 meters/sprint = 180 meters


**Step 2** Calculate the total weekly distance:**
* James runs these sprint sessions 3 times a week.
* Total weekly distance: 180 meters/session * 3 sessions/week = 540 meters

Final result: 540
",0,False,True,{'math_format_name': 'BulletPoints11MathFormat'}
4,"1. Calculate the total daily feed per chicken:
Each chicken eats 3 cups of feed per day.


2. Calculate the total daily feed for all chickens:
Wendi has 20 chickens, and each chicken eats 3 cups, so the total daily feed is 20 chickens * 3 cups/chicken = 60 cups.


3. Calculate the total feed given in the morning and afternoon:
Wendi gives 15 cups in the morning and 25 cups in the afternoon, for a total of 15 + 25 = 40 cups.


4. Calculate the remaining feed needed for the final meal:
The chickens need 60 cups total, and 40 cups have already been given, so the final meal needs 60 - 40 = 20 cups.

$\boxed{20}$
",1,True,True,{'math_format_name': 'BulletPoints8MathFormat'}
5,"1. Calculate the price of the second glass:
The second glass costs 60% of $5, which is $5 * 0.60 = $3.


2. Determine the number of pairs of glasses:
Kylar wants to buy 16 glasses, so there are 16 / 2 = 8 pairs of glasses.


3. Calculate the cost of one pair of glasses:
One pair consists of one regular-priced glass and one discounted glass, so the cost of a pair is $5 + $3 = $8.


4. Calculate the total cost for all pairs:
Since there are 8 pairs, the total cost is 8 pairs * $8/pair = $64.

Final result: $64
",1,True,False,{'math_format_name': 'BulletPoints7MathFormat'}
6,"```json
{
  ""1"": ""Seattle has 20 sheep."",
  ""2"": ""Charleston has 4 times as many sheep as Seattle, so Charleston has 4 * 20 = 80 sheep."",
  ""3"": ""Toulouse has twice as many sheep as Charleston, so Toulouse has 2 * 80 = 160 sheep."",
  ""4"": ""Together, they have 20 + 80 + 160 sheep."",
  ""5"": ""20 + 80 + 160 = 260 sheep.""
}
```
Final result: 260
",1,True,True,{'math_format_name': 'BulletPoints19MathFormat'}
7,"**Step 1** Calculate the amount of data downloaded before the restart.**

* Carla downloads 40% of the 200 GB file, which is 0.40 * 200 GB = 80 GB.


**Step 2** Calculate the time taken to download the initial 80 GB.**

* At a download speed of 2 GB/minute, it takes 80 GB / (2 GB/minute) = 40 minutes to download the first 80 GB.


**Step 3** Calculate the total time taken to download the entire file after the restart.**

* After the restart, Carla has to download the entire 200 GB file again.
* This will take 200 GB / (2 GB/minute) = 100 minutes.


**Step 4** Calculate the total time spent, including the update time.**

* The total time is the initial download time + update time + the time to re-download the entire file.
* Total time = 40 minutes + 20 minutes + 100 minutes = 160 minutes.

Final result: 160
",1,True,True,{'math_format_name': 'BulletPoints11MathFormat'}
8,"**Step 1** Calculate the distance John traveled away from home.**

* John drives for 3 hours at a speed of 60 mph.
* Distance = Speed × Time
* Distance = 60 mph × 3 hours = 180 miles


**Step 2** Calculate the distance John traveled towards home during the standstill traffic.**

* John was in standstill traffic for 2 hours.
* Since he was not moving, the distance covered is 0 miles.


**Step 3** Calculate the distance John traveled towards home at 30 mph.**

* John drove for half an hour (0.5 hours) at a speed of 30 mph.
* Distance = 30 mph × 0.5 hours = 15 miles


**Step 4** Calculate the remaining time John has to drive at 80 mph.**

* John had 4 hours to get home.
* He spent 2 hours in traffic and 0.5 hours driving at 30 mph.
* Remaining time = 4 hours - 2 hours - 0.5 hours = 1.5 hours


**Step 5** Calculate the distance John traveled towards home at 80 mph.**

* John drove for 1.5 hours at a speed of 80 mph.
* Distance = 80 mph × 1.5 hours = 120 miles


**Step 6** Calculate the total distance John traveled towards home.**

* Total distance = 0 miles + 15 miles + 120 miles = 135 miles


**Step 7** Calculate how far John is from home.**

* John initially traveled 180 miles away from home.
* He then traveled 135 miles back towards home.
* Distance from home = 180 miles - 135 miles = 45 miles

Final result: 45
",1,True,True,{'math_format_name': 'BulletPoints11MathFormat'}
9,"### 1
* Eliza's regular hourly rate is $10.

### 2
* She worked 40 hours with her regular hourly rate, so her earnings for the first 40 hours are $10 \times 40 = $400$.

### 3
* Her overtime hourly rate is $10 \times 1.2 = $12$.

### 4
* She worked 45 hours this week, so her overtime hours are $45 - 40 = 5$ hours.

### 5
* Her overtime earnings are $12 \times 5 = $60$.

### 6
* Her total earnings for this week are $400 + $60 = $460$.


$\boxed{460}$
",1,True,True,{'math_format_name': 'BulletPoints4MathFormat'}
