index,generated,result,format_results,acc_results,format_properties
0,"Janet's ducks lay 16 eggs per day.
She eats 3 eggs, so 16 - 3 = 13 eggs remain.
She uses 4 eggs for muffins, so 13 - 4 = 9 eggs remain.
She sells the remaining 9 eggs at $2 per egg, so she makes 9 * $2 = $18.

Result: 18
",1,True,True,{'math_format_name': 'Suffix4PhrasesMathFormat'}
1,"A robe takes 2 bolts of blue fiber.
It takes half as much white fiber as blue fiber, which is 2 bolts / 2 = 1 bolt of white fiber.
The total number of bolts is the sum of blue and white fiber bolts, which is 2 + 1 = 3 bolts.

Final Answer: The final answer is $\boxed{3}$
",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
2,"First find the value of the house after repairs. The initial value is $80,000 and the repairs add $50,000, so the total cost is $80,000 + $50,000 = $130,000.

Next, calculate the increase in value due to the repairs. The repairs increased the value by 150% of the cost, which is 1.5 * $130,000 = $195,000.

Now, find the final value of the house. The value increased by $195,000, so the final value is $130,000 + $195,000 = $325,000.

Finally, calculate the profit. The profit is the final value minus the total cost: $325,000 - $130,000 = $195,000.

The final answer is $195,000.
",1,True,False,{'math_format_name': 'Suffix3PhrasesMathFormat'}
3,"James runs 3 sprints, each 60 meters long, so in one day he runs 3 * 60 = 180 meters.

He does this 3 times a week, so the total distance he runs in a week is 180 meters/day * 3 days/week = 540 meters.

Final Answer: The final answer is $\boxed{540}$
",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
4,"Here's how to solve the problem:

1. **Calculate the total daily feed:** Each chicken eats 3 cups per day, and there are 20 chickens, so the total daily feed is 3 cups/chicken * 20 chickens = 60 cups.

2. **Calculate the feed given in the morning and afternoon:** Wendi gives 15 cups in the morning and 25 cups in the afternoon, for a total of 15 + 25 = 40 cups.

3. **Calculate the remaining feed needed:** To find the amount of feed needed for the final meal, subtract the feed already given from the total daily feed: 60 cups - 40 cups = 20 cups.

Final Answer: The final answer is $\boxed{20}$
",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
5,"Here's how to calculate the total cost:

1. **Calculate the cost of the discounted glasses:** 60% of $5 is $5 * 0.60 = $3.

2. **Determine the number of full-price and discounted glasses:** Since every second glass is discounted, Kylar will buy 8 full-price glasses and 8 discounted glasses.

3. **Calculate the cost of the full-price glasses:** 8 glasses * $5/glass = $40

4. **Calculate the cost of the discounted glasses:** 8 glasses * $3/glass = $24

5. **Calculate the total cost:** $40 + $24 = $64

### $64
",1,True,False,{'math_format_name': 'Suffix2PhrasesMathFormat'}
6,"Let 'T' be the number of sheep in Toulouse, 'C' be the number of sheep in Charleston, and 'S' be the number of sheep in Seattle.

We are given that Seattle has 20 sheep, so S = 20.

Charleston has 4 times as many sheep as Seattle, so C = 4 * S = 4 * 20 = 80.

Toulouse has twice as many sheep as Charleston, so T = 2 * C = 2 * 80 = 160.

The total number of sheep is T + C + S = 160 + 80 + 20 = 260.

The final answer is 260.
",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
7,"Here's how we can break down the problem:

1. **Initial Download Progress:** Carla downloads 40% of the 200 GB file before the restart. This is equal to 0.40 * 200 GB = 80 GB.

2. **Time for Initial Download:** At a speed of 2 GB/minute, it takes 80 GB / 2 GB/minute = 40 minutes to download the first 80 GB.

3. **Restart and Redownload:** After the 20-minute restart, Carla has to download the entire 200 GB file again.

4. **Time for Redownload:** At 2 GB/minute, it takes 200 GB / 2 GB/minute = 100 minutes to redownload the file.

5. **Total Download Time:** The total time is the sum of the initial download time, the restart time, and the redownload time: 40 minutes + 20 minutes + 100 minutes = 160 minutes.

The final answer is 160.
",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
8,"First, we calculate the distance John travels away from home. He drives for 3 hours at 60 mph, so the distance is 3 hours * 60 mph = 180 miles.

Next, we calculate the distance John travels back towards home. He spends 2 hours in standstill traffic, covering 0 miles. He then drives for half an hour (0.5 hours) at 30 mph, covering a distance of 0.5 hours * 30 mph = 15 miles.  He has 4 hours total to get home, so the remaining time he drives at 80 mph is 4 hours - 2 hours - 0.5 hours = 1.5 hours. The distance he covers in this time is 1.5 hours * 80 mph = 120 miles.

The total distance John travels towards home is 0 + 15 + 120 = 135 miles.

Since John initially traveled 180 miles away from home and then traveled 135 miles back towards home, the distance he is from home is 180 miles - 135 miles = 45 miles.

The final answer is 45.
",1,True,True,{'math_format_name': 'Suffix3PhrasesMathFormat'}
9,"Eliza's regular hourly rate is $10.
She worked 40 hours at her regular rate, so her earnings for these 40 hours are 40 * $10 = $400.

She worked 45 hours in total, which means she worked 45 - 40 = 5 hours of overtime.
Her overtime rate is 1.2 times her regular hourly rate, which is 1.2 * $10 = $12 per hour.
Her earnings for the 5 hours of overtime are 5 * $12 = $60.

Her total earnings for the week are the sum of her regular earnings and her overtime earnings: $400 + $60 = $460.

Final Answer: The final answer is $\boxed{460}$
",1,True,True,{'math_format_name': 'Suffix5PhrasesMathFormat'}
