index,generated,result,format_properties
0,"<ans>
def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s 
</ans>",0,{}
1,"<ans>
def sort_matrix(M):
    result = sorted(M, key=sum)
    return result
</ans>",0,{}
2,"<ans>
def find_Volume(l,b,h) : 
    return ((l * b * h) / 2)
</ans>",1,{}
3,"<ans>
import re
def text_lowercase_underscore(text):
    patterns = '^[a-z]+_[a-z]+$'
    if re.search(patterns, text):
        return True
    else:
        return False
</ans>",0,{}
4,"<ans>
def square_perimeter(a):
  perimeter = 4 * a
  return perimeter
</ans>",0,{}
5,"<ans>
def get_last_checkpoint(folder):
    content = os.listdir(folder)
    print(""content: "", str(content))
    checkpoints = [
        path
        for path in content
        if _re_checkpoint.search(path) is not None and os.path.isdir(os.path.join(folder, path))
    ]
    print(""checkpoints: "", str(checkpoints))
    if len(checkpoints) == 0:
        return None
    return os.path.join(folder, max(checkpoints, key=lambda x: int(_re_checkpoint.search(x).groups()[0])))
</ans>",0,{}
6,"<ans>
def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)
</ans>",0,{}
7,"<ans>
def is_woodall(x):
    if (x % 2 == 0):
        return False
    if (x == 1):
        return True
    x = x + 1
    p = 0
    while (x % 2 == 0):
        x = x/2
        p = p + 1
        if (p == x):
            return True
    return False
</ans>",0,{}
8,"<ans>
def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  
</ans>",0,{}
9,"<ans>
def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num 
</ans>",0,{}
10,"<ans>
def opposite_Signs(x, y):
    return ((x ^ y) < 0)
</ans>",1,{}
11,"<ans>
def is_octagonal(n):
    return 3 * n * n - 2 * n
</ans>",1,{}
12,"<ans>
def count_Substrings(s):
    n = len(s)
    count, sum = 0, 0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count
</ans>",0,{}
13,"<ans>
def smallest_num(xs):
  return min(xs)
</ans>",1,{}
14,"<ans>
def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res)
</ans>",0,{}
15,"<ans>
def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks
</ans>",1,{}
16,"<ans>
def recursive_list_sum(data_list):
    total = 0
    for element in data_list:
        if type(element) == type([]):
            total = total + recursive_list_sum(element)
        else:
            total = total + element
    return total
</ans>",0,{}
17,"<ans>
def pos_count(list):
  pos_count = 0
  for num in list:
    if num >= 0:
      pos_count += 1
  return pos_count
</ans>",0,{}
18,"<ans>
def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] 
</ans>",0,{}
19,"<ans>
def is_Monotonic(A): 
    return (all(A[i] <= A[i + 1] for i in range(len(A) - 1)) or
            all(A[i] >= A[i + 1] for i in range(len(A) - 1))) 
</ans>",1,{}
20,"<ans>
def is_sublist(l, s):
    sub_set = False
    if s == []:
        sub_set = True
    elif s == l:
        sub_set = True
    elif len(s) > len(l):
        sub_set = False
    else:
        for i in range(len(l)):
            if l[i] == s[0]:
                n = 1
                while (n < len(s)) and (l[i+n] == s[n]):
                    n += 1
                if n == len(s):
                    sub_set = True
    return sub_set
</ans>",0,{}
21,"<ans>
def find_equal_tuple(Input):
  k = 0 if not Input else len(Input[0])
  flag = 1
  for tuple in Input:
    if len(tuple) != k:
      flag = 0
      break
  return flag
def get_equal(Input):
  return find_equal_tuple(Input) == 1
</ans>",0,{}
22,"<ans>
def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums
</ans>",0,{}
23,"<ans>
def dif_Square(n):
    if (n % 4 != 2): 
        return True
    return False
</ans>",1,{}
24,"<ans>
def is_samepatterns(colors, patterns):    
    if len(colors) != len(patterns):
        return False    
    sdict = {}
    pset = set()
    sset = set()    
    for i in range(len(patterns)):
        pset.add(patterns[i])
        sset.add(colors[i])
        if patterns[i] not in sdict.keys():
            sdict[patterns[i]] = []

        keys = sdict[patterns[i]]
        keys.append(colors[i])
        sdict[patterns[i]] = keys

    if len(pset) != len(sset):
        return False   

    for values in sdict.values():

        for i in range(len(values) - 1):
            if values[i] != values[i+1]:
                return False

    return True
</ans>",0,{}
25,"<ans>
def find_tuples(test_list, K):
  res = [sub for sub in test_list if all(ele % K == 0 for ele in sub)]
  return res
</ans>",0,{}
26,"<ans>
def is_Diff(n):
    return (n % 11 == 0)
</ans>",1,{}
27,"<ans>
def word_len(s): 
    s = s.split(' ')   
    for word in s:    
        if len(word)%2!=0: 
            return True  
        else:
          return False
</ans>",0,{}
28,"<ans>
def tetrahedral_number(n):
    return (n * (n + 1) * (n + 2)) / 6
</ans>",1,{}
29,"<ans>
def get_Char(strr):  
    summ = 0
    for i in range(len(strr)): 
        summ += (ord(strr[i]) - ord('a') + 1)  
    if (summ % 26 == 0): 
        return ord('z') 
    else: 
        summ = summ % 26
        return chr(ord('a') + summ - 1)
</ans>",0,{}
30,"<ans>
def sequence(n): 
    if n == 1 or n == 2: 
        return 1
    else: 
        return sequence(sequence(n-1)) + sequence(n-sequence(n-1))
</ans>",1,{}
31,"<ans>
def centered_hexagonal_number(n):
  return 3 * n * (n - 1) + 1
</ans>",1,{}
32,"<ans>
import collections as ct
def merge_dictionaries_three(dict1,dict2, dict3):
    merged_dict = dict(ct.ChainMap({},dict1,dict2,dict3))
    return merged_dict
</ans>",0,{}
33,"<ans>
import collections
def freq_count(list1):
    freq_count = collections.Counter(list1)
    return freq_count
</ans>",0,{}
34,"<ans>
def closest_num(N):
  return (N - 1)
</ans>",1,{}
35,"<ans>
def len_log(list1):
    max = len(list1[0])
    for i in list1:
        if len(i) > max:
            max = len(i)
    return max
</ans>",0,{}
36,"<ans>
def find_substring(str1, sub_str):
    if any(sub_str in s for s in str1):
        return True
    return False
</ans>",1,{}
37,"<ans>
def is_undulating(n):
    n = str(n)
    if (len(n) <= 2):
        return False
    for i in range(2, len(n)):
        if (n[i - 2] != n[i]):
            return False
    return True
</ans>",0,{}
38,"<ans>
def power(a,b):
    if b==0:
        return 1
    elif a==0:
        return 0
    elif b==1:
        return a
    else:
        return a*power(a,b-1)
</ans>",1,{}
39,"<ans>
def index_minimum(test_list):
  res = min(test_list, key = itemgetter(1))[0]
  return (res)
</ans>",0,{}
40,"<ans>
def Find_Min_Length(lst):  
    minLength = min(len(x) for x in lst )
    return minLength
</ans>",0,{}
41,"<ans>
def divisor(n):
  for i in range(n):
    x = len([i for i in range(1,n+1) if not n % i])
  return x
</ans>",0,{}
42,"<ans>
def frequency_lists(list1):
    list1 = [item for sublist in list1 for item in sublist]
    dic_data = {}
    for num in list1:
        if num in dic_data.keys():
            dic_data[num] += 1
        else:
            key = num
            value = 1
            dic_data[key] = value
    return dic_data
</ans>",0,{}
43,"<ans>
def decimal_to_binary(n):
    return bin(n).replace(""0b"","""")
</ans>",1,{}
44,"<ans>
def next_smallest_palindrome(num):
    numstr = str(num)
    for i in range(num+1,sys.maxsize):
        if str(i) == str(i)[::-1]:
            return i
</ans>",0,{}
45,"<ans>
def kth_element(arr, k):
  n = len(arr)
  for i in range(n):
    for j in range(0, n-i-1):
      if arr[j] > arr[j+1]:
        arr[j], arr[j+1] == arr[j+1], arr[j]
  return arr[k-1]
</ans>",0,{}
46,"<ans>
def snake_to_camel(word):
    import re
    return ''.join(x.capitalize() or '_' for x in word.split('_'))
</ans>",1,{}
47,"<ans>
def eulerian_num(n, m): 
    if (m >= n or n == 0): 
        return 0 
    if (m == 0): 
        return 1 
    return ((n - m) * eulerian_num(n - 1, m - 1) + (m + 1) * eulerian_num(n - 1, m))
</ans>",1,{}
48,"<ans>
def sort_sublists(input_list):
    result = [sorted(x, key = lambda x:x[0]) for x in input_list] 
    return result
</ans>",0,{}
49,"<ans>
def count(lst):
    return sum(lst)
</ans>",1,{}
50,"<ans>
def add_lists(test_list, test_tup):
  res = tuple(list(test_tup) + test_list)
  return (res)
</ans>",0,{}
51,"<ans>
import heapq
def merge_sorted_list(num1,num2,num3):
  num1=sorted(num1)
  num2=sorted(num2)
  num3=sorted(num3)
  result = heapq.merge(num1,num2,num3)
  return list(result)
</ans>",0,{}
52,"<ans>
def odd_Equivalent(s,n): 
    count=0
    for i in range(0,n): 
        if (s[i] == '1'): 
            count = count + 1
    return count
</ans>",0,{}
53,"<ans>
def check_integer(text):
    text = text.strip()
    if len(text) < 1:
        return None
    else:
        if all(text[i] in ""0123456789"" for i in range(len(text))):
            return True
        elif (text[0] in ""+-"") and \
             all(text[i] in ""0123456789"" for i in range(1, len(text))):
            return True
        else:
            return False
</ans>",0,{}
54,"<ans>
def empty_dit(list1):
    empty_dit = all(not d for d in list1)
    return empty_dit
</ans>",0,{}
55,"<ans>
def tuple_to_int(nums):
    result = int(''.join(map(str,nums)))
    return result
</ans>",0,{}
56,"<ans>
def list_to_float(test_list):
  res = []
  for tup in test_list:
    temp = []
    for ele in tup:
      if ele.isalpha():
        temp.append(ele)
      else:
        temp.append(float(ele))
    res.append((temp[0],temp[1]))
  return res
</ans>",0,{}
57,"<ans>
def string_to_list(string): 
    lst = list(string.split("" "")) 
    return lst
</ans>",0,{}
58,"<ans>
def search(arr):
    n = len(arr)
    XOR = 0
    for i in range(n) :
        XOR = XOR ^ arr[i]
    return (XOR)
</ans>",0,{}
59,"<ans>
def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1])
    return result_max
</ans>",0,{}
60,"<ans>
def amicable_numbers_sum(limit):
    if not isinstance(limit, int):
        return ""Input is not an integer!""
    if limit < 1:
        return ""Input must be bigger than 0!""
    amicables = set()
    for num in range(2, limit+1):
        if num in amicables:
            continue
        sum_fact = sum([fact for fact in range(1, num) if num % fact == 0])
        sum_fact2 = sum([fact for fact in range(1, sum_fact) if sum_fact % fact == 0])
        if num == sum_fact2 and num != sum_fact:
            amicables.add(num)
            amicables.add(sum_fact2)
    return sum(amicables)
</ans>",0,{}
61,"<ans>
def find_length(string): 
    n = len(string)
    current_sum = 0
    max_sum = 0
    for i in range(n): 
        current_sum += (1 if string[i] == '0' else -1) 
        if current_sum < 0: 
            current_sum = 0
        max_sum = max(current_sum, max_sum) 
    return max_sum if max_sum else 0
</ans>",0,{}
62,"<ans>
def sum(a,b):
    sum = 0
    for i in range(1, min(a, b)):
        if (a % i == 0 and b % i == 0):
            sum += i
    return sum
</ans>",0,{}
63,"<ans>
def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)
</ans>",1,{}
64,"<ans>
def long_words(n, str):
    word_len = []
    txt = str.split("" "")
    for x in txt:
        if len(x) > n:
            word_len.append(x)
    return word_len
</ans>",0,{}
65,"<ans>
def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True
</ans>",0,{}
66,"<ans>
def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result[0]
</ans>",0,{}
67,"<ans>
def reverse_vowels(str1):
    vowels = """"
    for char in str1:
        if char in ""aeiouAEIOU"":
            vowels += char
    result_string = """"
    for char in str1:
        if char in ""aeiouAEIOU"":
            result_string += vowels[-1]
            vowels = vowels[:-1]
        else:
            result_string += char
    return result_string
</ans>",0,{}
68,"<ans>
def tup_string(tup1):
  str = ''.join(tup1)
  return str
</ans>",0,{}
69,"<ans>
def sum_negativenum(nums):
  sum_negativenum = list(filter(lambda nums:nums<0,nums))
  return sum(sum_negativenum)
</ans>",0,{}
70,"<ans>
def hexagonal_num(n):
    return n * (2 * n - 1)
</ans>",1,{}
71,"<ans>
def is_Sum_Of_Powers_Of_Two(n):
    if (n % 2 == 1): 
        return False
    else: 
        return True
</ans>",1,{}
72,"<ans>
def pancake_sort(nums):
    arr_len = len(nums)
    while arr_len > 1:
        mi = nums.index(max(nums[0:arr_len]))
        nums = nums[mi::-1] + nums[mi+1:len(nums)]
        nums = nums[arr_len-1::-1] + nums[arr_len:len(nums)]
        arr_len -= 1
    return nums
</ans>",0,{}
73,"<ans>
def count_samepair(list1, list2, list3):
    result = sum(m == n == o for m, n, o in zip(list1, list2, list3))
    return result
</ans>",0,{}
74,"<ans>
def find_lists(Input): 
    if isinstance(Input, list): 
        return 1
    else: 
        return len(Input)
</ans>",1,{}
75,"<ans>
def max_Abs_Diff(arr): 
    n = len(arr)
    minEle = arr[0] 
    maxEle = arr[0] 
    for i in range(1, n): 
        minEle = min(minEle, arr[i]) 
        maxEle = max(maxEle, arr[i]) 
    return (maxEle - minEle) 
</ans>",0,{}
76,"<ans>
def find_solution(a, b, n):
    i = 0
    while i * a <= n:
        if (n - (i * a)) % b == 0: 
            return (i, (n - (i * a)) // b)
        i = i + 1
    return None
</ans>",0,{}
77,"<ans>
def remove_elements(list1, list2):
    result = [x for x in list1 if x not in list2]
    return result
</ans>",0,{}
78,"<ans>
def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)
</ans>",1,{}
79,"<ans>
import math 
def div_sum(n): 
  total = 1
  i = 2

  while i * i <= n:
    if (n % i == 0):
      total = (total + i + math.floor(n / i))
    i += 1

  return total

def are_equivalent(num1, num2): 
    return div_sum(num1) == div_sum(num2); 
</ans>",0,{}
80,"<ans>
def count_char_position(str1): 
    count_chars = 0
    for i in range(len(str1)):
        if ((i == ord(str1[i]) - ord('A')) or 
            (i == ord(str1[i]) - ord('a'))): 
            count_chars += 1
    return count_chars
</ans>",0,{}
81,"<ans>
def find_even_pair(A): 
  count = 0
  for i in range(0, len(A)): 
    for j in range(i+1, len(A)): 
        if ((A[i] ^ A[j]) % 2 == 0): 
          count += 1

  return count
</ans>",0,{}
82,"<ans>
def next_power_of_2(n):
  if n and not n & (n - 1):
    return n

  count = 0
  while n != 0: 
    n >>= 1
    count += 1

  return 1 << count; 
</ans>",0,{}
83,"<ans>
def frequency(a,x):
    count = 0  
    for i in a: 
        if i == x: 
            count += 1

    return count
</ans>",0,{}
84,"<ans>
def sum_range_list(list1, m, n):
    sum_range = 0
    for i in range(m, n+1, 1):
        sum_range += list1[i]
    return sum_range
</ans>",0,{}
85,"<ans>
import math
def perimeter_pentagon(a):
  perimeter = (5 * a)
  return perimeter
</ans>",0,{}
86,"<ans>
def count_occurance(s):
  count = 0
  for i in range(len(s) - 2):
    if (s[i] == 's' and s[i+1] == 't' and s[i+2] == 'd'):
      count = count + 1
  return count
</ans>",0,{}
87,"<ans>
def check_type(test_tuple):
  res = True
  for ele in test_tuple:
    if not isinstance(ele, type(test_tuple[0])):
      res = False
      break
  return (res)
</ans>",0,{}
88,"<ans>
def is_majority(arr, n, x):
    i = binary_search(arr, 0, n-1, x)
    if i == -1:
        return False
    if ((i + n//2) <= (n -1)) and arr[i + n//2] == x:
        return True
    else:
        return False
def binary_search(arr, low, high, x):
    if high >= low:
        mid = (low + high)//2
        if (mid == 0 or x > arr[mid-1]) and (arr[mid] == x):
            return mid
        elif x > arr[mid]:
            return binary_search(arr, (mid + 1), high, x)
        else:
            return binary_search(arr, low, (mid -1), x)
    return -1
</ans>",0,{}
89,"<ans>
def count_Set_Bits(n): 
    count = 0
    while (n): 
        count += n & 1
        n >>= 1
    return count
</ans>",0,{}
90,"<ans>
def odd_values_string(str):
  result = """"
  for i in range(len(str)):
    if i % 2 == 0:
      result = result + str[i]
  return result
</ans>",0,{}
91,"<ans>
def min_of_three(a,b,c):
      if (a <= b) and (a <= c): 
        smallest = a 
      elif (b <= a) and (b <= c): 
        smallest = b 
      else: 
        smallest = c 
      return smallest
</ans>",0,{}
92,"<ans>
def all_Bits_Set_In_The_Given_Range(n,l,r):  
    num = (((1 << r) - 1) ^ ((1 << (l - 1)) - 1)) 
    new_num = n & num
    if (new_num == 0): 
        return True
    return False
</ans>",0,{}
93,"<ans>
def re_arrange_array(arr, n):
  j=0
  for i in range(0, n):
    if (arr[i] < 0):
      temp = arr[i]
      arr[i] = arr[j]
      arr[j] = temp
      j = j + 1
  return arr
</ans>",0,{}
94,"<ans>
def replace_blank(str1, char):
    str2 = str1.replace(' ', char)
    return str2
</ans>",0,{}
95,"<ans>
def volume_cube(l):
  volume = l * l * l
  return volume
</ans>",0,{}
96,"<ans>
def even_bit_set_number(n): 
    count = 0;res = 0;temp = n 
    while(temp > 0): 
        if (count % 2 == 1): 
            res |= (1 << count)
        count+=1
        temp >>= 1
    return (n | res)
</ans>",0,{}
97,"<ans>
from collections import Counter 
def check_occurences(test_list):
  res = dict(Counter(tuple(ele) for ele in map(sorted, test_list)))
  return  (res) 
</ans>",0,{}
98,"<ans>
def number_of_substrings(str):
    str_len = len(str); 
    return int(str_len * (str_len + 1) / 2); 
</ans>",0,{}
99,"<ans>
def get_total_number_of_sequences(m, n): 
	T=[[0 for i in range(n+1)] for i in range(m+1)] 
	for i in range(m+1): 
		for j in range(n+1): 
			if i==0 or j==0: 
				T[i][j]=0
			elif i<j: 
				T[i][j]=0
			elif j==1: 
				T[i][j]=i 
			else: 
				T[i][j]=T[i-1][j]+T[i//2][j-1] 
	return T[m][n]
</ans>",0,{}
100,"<ans>
def replace_list(list1,list2):
    list1[-1:] = list2
    replace_list = list1
    return replace_list
</ans>",0,{}
101,"<ans>
def count_charac(str1):
    total = 0
    for i in str1:
        total = total + 1
    return total
</ans>",0,{}
102,"<ans>
import math  
def next_Perfect_Square(N): 
    nextN = math.floor(math.sqrt(N)) + 1
    return nextN * nextN 
</ans>",0,{}
103,"<ans>
def max_sum(arr): 
    MSIBS = arr[:] 
    for i in range(len(arr)): 
        for j in range(0, i): 
            if arr[i] > arr[j] and MSIBS[i] < MSIBS[j] + arr[i]: 
                MSIBS[i] = MSIBS[j] + arr[i] 
    MSDBS = arr[:] 
    for i in range(1, len(arr) + 1): 
        for j in range(1, i): 
            if arr[-i] > arr[-j] and MSDBS[-i] < MSDBS[-j] + arr[-i]: 
                MSDBS[-i] = MSDBS[-j] + arr[-i] 
    max_sum = float(""-Inf"") 
    for i, j, k in zip(MSIBS, MSDBS, arr): 
        max_sum = max(max_sum, i + j - k) 
    return max_sum
</ans>",0,{}
104,"<ans>
def lps(str): 
	n = len(str) 
	L = [[0 for x in range(n)] for x in range(n)] 
	for i in range(n): 
		L[i][i] = 1
	for cl in range(2, n+1): 
		for i in range(n-cl+1): 
			j = i+cl-1
			if str[i] == str[j] and cl == 2: 
				L[i][j] = 2
			elif str[i] == str[j]: 
				L[i][j] = L[i+1][j-1] + 2
			else: 
				L[i][j] = max(L[i][j-1], L[i+1][j]); 
	return L[0][n-1]
</ans>",0,{}
105,"<ans>
def intersection_array(array_nums1, array_nums2):
    result = list(filter(lambda x: x in array_nums1, array_nums2))
    return result
</ans>",0,{}
106,"<ans>
def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count
</ans>",0,{}
107,"<ans>
def insert_element(list, element):
    list = [v for elt in list for v in (element, elt)]
    return list
</ans>",0,{}
108,"<ans>
import cmath  
def convert(numbers):    
    num = cmath.polar(numbers)  
    return (num)
</ans>",0,{}
109,"<ans>
def count_integer(list1):
    ctr = 0
    for i in list1:
        if isinstance(i, int):
            ctr = ctr + 1
    return ctr
</ans>",0,{}
110,"<ans>
from itertools import combinations_with_replacement
def combinations_colors(l, n):
    return list(combinations_with_replacement(l,n))
</ans>",1,{}
111,"<ans>
def count_Primes_nums(n):
    ctr = 0
    for num in range(n):
        if num <= 1:
            continue
        for i in range(2,num):
            if (num % i) == 0:
                break
        else:
            ctr += 1
    return ctr
</ans>",0,{}
112,"<ans>
def swap_numbers(a,b):
    temp = a
    a = b
    b = temp
    return (a,b)
</ans>",0,{}
113,"<ans>
def maximize_elements(test_tup1, test_tup2):
  res = tuple(tuple(max(a, b) for a, b in zip(tup1, tup2))
   for tup1, tup2 in zip(test_tup1, test_tup2))
  return (res)
</ans>",1,{}
114,"<ans>
def newman_prime(n): 
    if n == 0 or n == 1: 
        return 1
    return 2 * newman_prime(n - 1) + newman_prime(n - 2)
</ans>",1,{}
115,"<ans>
def division_elements(test_tup1, test_tup2):
  res = tuple(ele1 // ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res)
</ans>",0,{}
116,"<ans>
def split_two_parts(list1, L):
    return list1[:L], list1[L:]
</ans>",1,{}
117,"<ans>
def dog_age(h_age):
    if h_age < 0:
        exit()
    elif h_age <= 2:
        d_age = h_age * 10.5
    else:
        d_age = 21 + (h_age - 2) * 4
    return d_age
</ans>",0,{}
118,"<ans>
def list_split(S, step):
    return [S[i::step] for i in range(step)]
</ans>",1,{}
119,"<ans>
def lateralsurface_cube(l):
  LSA = 4 * (l * l)
  return LSA
</ans>",0,{}
120,"<ans>
def square_Sum(n):  
    return int(n*(4*n*n-1)/3)
</ans>",1,{}
121,"<ans>
def find_star_num(n): 
    return (6 * n * (n - 1) + 1)
</ans>",1,{}
122,"<ans>
def ascii_value(k):
  ch=k
  return ord(ch)
</ans>",0,{}
123,"<ans>
def sum_even_and_even_index(arr):  
    i = 0
    sum = 0
    for i in range(0, len(arr),2): 
        if (arr[i] % 2 == 0) : 
            sum += arr[i]  
    return sum
</ans>",0,{}
124,"<ans>
def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n+1): 
        j = 2*i; 
        sum = sum + (j*j*j*j*j); 
    return sum; 
</ans>",0,{}
125,"<ans>
def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res)
</ans>",0,{}
126,"<ans>
def substract_elements(test_tup1, test_tup2):
  res = tuple(map(lambda i, j: i - j, test_tup1, test_tup2))
  return (res)
</ans>",0,{}
127,"<ans>
import math  
def even_binomial_Coeff_Sum(n): 
    return (1 << (n - 1))
</ans>",1,{}
128,"<ans>
def dict_filter(dict,n):
    result = {key:value for (key, value) in dict.items() if value >=n}
    return result
</ans>",0,{}
129,"<ans>
def count_first_elements(test_tup):
  for count, ele in enumerate(test_tup):
    if isinstance(ele, tuple):
      break
  return (count)
</ans>",1,{}
130,"<ans>
def is_num_decagonal(n):
    return 4 * n * n - 3 * n
</ans>",1,{}
131,"<ans>
def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos
</ans>",0,{}
132,"<ans>
def all_unique(test_list):
    if len(test_list) > len(set(test_list)):
        return False
    return True
</ans>",1,{}
133,"<ans>
def sub_list(nums1, nums2):
  result = map(lambda x, y: x - y, nums1, nums2)
  return list(result)
</ans>",0,{}
134,"<ans>
def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True
</ans>",0,{}
135,"<ans>
def check_element(list, element):
  check_element=all(v== element for v in list)
  return check_element
</ans>",0,{}
136,"<ans>
import re
def text_match_two_three(text):
    patterns = 'ab{2,3}'
    if re.search(patterns, text):
        return True
    else:
        return False
</ans>",0,{}
137,"<ans>
def max_sub_array_sum_repeated(a, n, k): 
	max_so_far = -2147483648
	max_ending_here = 0
	for i in range(n*k): 
		max_ending_here = max_ending_here + a[i%n] 
		if (max_so_far < max_ending_here): 
			max_so_far = max_ending_here 
		if (max_ending_here < 0): 
			max_ending_here = 0
	return max_so_far
</ans>",0,{}
138,"<ans>
def square_Sum(n):  
    return int(2*n*(n+1)*(2*n+1)/3)
</ans>",1,{}
139,"<ans>
def max_length(list1):
    max_length = max(len(x) for x in list1)  
    max_list = max((x) for x in list1)
    return(max_length, max_list)
</ans>",0,{}
140,"<ans>
def count_no_of_ways(n, k): 
    dp = [0] * (n + 1) 
    total = k 
    mod = 1000000007
    dp[1] = k 
    dp[2] = k * k	 
    for i in range(3,n+1): 
        dp[i] = ((k - 1) * (dp[i - 1] + dp[i - 2])) % mod 
    return dp[n]
</ans>",0,{}
141,"<ans>
def find(n,m):  
    q = n//m 
    return (q)
</ans>",0,{}
142,"<ans>
import math
def otherside_rightangle(w,h):
  s=math.sqrt((w*w)+(h*h))
  return s
</ans>",0,{}
143,"<ans>
def max_val(listval):
    max_val = max(i for i in listval if isinstance(i, int))
    return(max_val)
</ans>",0,{}
144,"<ans>
def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)
</ans>",0,{}
145,"<ans>
def get_Inv_Count(arr): 
    inv_count = 0
    for i in range(len(arr)): 
        for j in range(i + 1, len(arr)): 
            if (arr[i] > arr[j]): 
                inv_count += 1
    return inv_count
</ans>",0,{}
146,"<ans>
def flatten_list(list1):
    result_list = []
    if not list1: return result_list
    stack = [list(list1)]
    while stack:
        c_num = stack.pop()
        next = c_num.pop()
        if c_num: stack.append(c_num)
        if isinstance(next, list):
            if next: stack.append(list(next))
        else: result_list.append(next)
    result_list.reverse()
    return result_list
</ans>",0,{}
147,"<ans>
from collections import defaultdict
def max_aggregate(stdata):
    temp = defaultdict(int)
    for name, marks in stdata:
        temp[name] += marks
    return max(temp.items(), key=lambda x: x[1])
</ans>",0,{}
